RAZA,SEXO,Dia,Peso,Cons_Acum
COBB,MIXTO,49,4001,6749
COBB,MIXTO,50,4099,6999
COBB,MIXTO,51,4195,7252
COBB,MIXTO,52,4289,7508
COBB,MIXTO,53,4380,7766
COBB,MIXTO,54,4470,8026
COBB,MIXTO,55,4557,8287
COBB,MIXTO,56,4641,8549
HUBBARD,HEMBRA,1,63,12
HUBBARD,HEMBRA,2,82,28
HUBBARD,HEMBRA,3,103,48
HUBBARD,HEMBRA,4,127,73
HUBBARD,HEMBRA,5,153,101
HUBBARD,HEMBRA,6,184,132
HUBBARD,HEMBRA,7,216,166
HUBBARD,HEMBRA,8,252,204
HUBBARD,HEMBRA,9,290,247
HUBBARD,HEMBRA,10,333,295
HUBBARD,HEMBRA,11,380,346
HUBBARD,HEMBRA,12,430,404
HUBBARD,HEMBRA,13,483,467
HUBBARD,HEMBRA,14,541,535
HUBBARD,HEMBRA,15,603,609
HUBBARD,HEMBRA,16,648,688
HUBBARD,HEMBRA,17,712,773
HUBBARD,HEMBRA,18,779,864
HUBBARD,HEMBRA,19,849,962
HUBBARD,HEMBRA,20,922,1065
HUBBARD,HEMBRA,21,995,1174
HUBBARD,HEMBRA,22,1072,1289
HUBBARD,HEMBRA,23,1150,1409
HUBBARD,HEMBRA,24,1228,1535
HUBBARD,HEMBRA,25,1309,1667
HUBBARD,HEMBRA,26,1392,1805
HUBBARD,HEMBRA,27,1474,1948
HUBBARD,HEMBRA,28,1559,2096
HUBBARD,HEMBRA,29,1645,2249
HUBBARD,HEMBRA,30,1730,2408
HUBBARD,HEMBRA,31,1817,2572
HUBBARD,HEMBRA,32,1904,2742
HUBBARD,HEMBRA,33,1993,2916
HUBBARD,HEMBRA,34,2080,3095
HUBBARD,HEMBRA,35,2169,3278
HUBBARD,HEMBRA,36,2257,3465
HUBBARD,HEMBRA,37,2344,3657
HUBBARD,HEMBRA,38,2434,3852
HUBBARD,HEMBRA,39,2522,4051
HUBBARD,HEMBRA,40,2609,4252
HUBBARD,HEMBRA,41,2696,4458
HUBBARD,HEMBRA,42,2784,4666
HUBBARD,HEMBRA,43,2870,4878
HUBBARD,HEMBRA,44,2957,5092
HUBBARD,HEMBRA,45,3043,5307
HUBBARD,HEMBRA,46,3127,5526
HUBBARD,HEMBRA,47,3212,5747
HUBBARD,HEMBRA,48,3296,5969
HUBBARD,HEMBRA,49,3379,6194
HUBBARD,HEMBRA,50,3461,6419
HUBBARD,HEMBRA,51,3542,6646
HUBBARD,HEMBRA,52,3621,6874
HUBBARD,HEMBRA,53,3700,7102
HUBBARD,HEMBRA,54,3777,7332
HUBBARD,HEMBRA,55,3853,7561
HUBBARD,HEMBRA,56,3928,7791
HUBBARD,MACHO,1,63,12
HUBBARD,MACHO,2,82,28
HUBBARD,MACHO,3,103,48
HUBBARD,MACHO,4,127,73
HUBBARD,MACHO,5,153,101
HUBBARD,MACHO,6,184,132
HUBBARD,MACHO,7,216,166
HUBBARD,MACHO,8,252,204
HUBBARD,MACHO,9,290,247
HUBBARD,MACHO,10,333,295
HUBBARD,MACHO,11,380,346
HUBBARD,MACHO,12,430,404
HUBBARD,MACHO,13,483,467
HUBBARD,MACHO,14,541,535
HUBBARD,MACHO,15,619,609
HUBBARD,MACHO,16,687,688
HUBBARD,MACHO,17,756,773
HUBBARD,MACHO,18,830,864
HUBBARD,MACHO,19,909,962
HUBBARD,MACHO,20,990,1065
HUBBARD,MACHO,21,1074,1174
HUBBARD,MACHO,22,1161,1289
HUBBARD,MACHO,23,1251,1409
HUBBARD,MACHO,24,1342,1535
HUBBARD,MACHO,25,1437,1667
HUBBARD,MACHO,26,1536,1805
HUBBARD,MACHO,27,1634,1948
HUBBARD,MACHO,28,1735,2096
HUBBARD,MACHO,29,1838,2249
HUBBARD,MACHO,30,1943,2408
HUBBARD,MACHO,31,2049,2572
HUBBARD,MACHO,32,2158,2742
HUBBARD,MACHO,33,2268,2916
HUBBARD,MACHO,34,2378,3095
HUBBARD,MACHO,35,2490,3278
HUBBARD,MACHO,36,2602,3465
HUBBARD,MACHO,37,2714,3657
HUBBARD,MACHO,38,2828,3852
HUBBARD,MACHO,39,2939,4051
HUBBARD,MACHO,40,3050,4252
HUBBARD,MACHO,41,3161,4458
HUBBARD,MACHO,42,3272,4666
HUBBARD,MACHO,43,3382,4878
HUBBARD,MACHO,44,3493,5092
HUBBARD,MACHO,45,3603,5307
HUBBARD,MACHO,46,3710,5526
HUBBARD,MACHO,47,3818,5747
HUBBARD,MACHO,48,3923,5969
HUBBARD,MACHO,49,4029,6194
HUBBARD,MACHO,50,4132,6419
HUBBARD,MACHO,51,4234,6646
HUBBARD,MACHO,52,4333,6874
HUBBARD,MACHO,53,4433,7102
HUBBARD,MACHO,54,4529,7332
HUBBARD,MACHO,55,4625,7561
HUBBARD,MACHO,56,4719,7791
HUBBARD,MIXTO,1,63,12
HUBBARD,MIXTO,2,82,28
HUBBARD,MIXTO,3,103,48
HUBBARD,MIXTO,4,127,73
HUBBARD,MIXTO,5,153,101
HUBBARD,MIXTO,6,184,132
HUBBARD,MIXTO,7,216,166
HUBBARD,MIXTO,8,252,204
HUBBARD,MIXTO,9,290,247
HUBBARD,MIXTO,10,333,295
HUBBARD,MIXTO,11,380,346
HUBBARD,MIXTO,12,430,404
HUBBARD,MIXTO,13,483,467
HUBBARD,MIXTO,14,541,535
HUBBARD,MIXTO,15,603,609
HUBBARD,MIXTO,16,667,688
HUBBARD,MIXTO,17,734,773
HUBBARD,MIXTO,18,805,864
HUBBARD,MIXTO,19,879,962
HUBBARD,MIXTO,20,956,1065
HUBBARD,MIXTO,21,1035,1174
HUBBARD,MIXTO,22,1117,1289
HUBBARD,MIXTO,23,1200,1409
HUBBARD,MIXTO,24,1285,1535
HUBBARD,MIXTO,25,1373,1667
HUBBARD,MIXTO,26,1464,1805
HUBBARD,MIXTO,27,1554,1948
HUBBARD,MIXTO,28,1647,2096
HUBBARD,MIXTO,29,1741,2249
HUBBARD,MIXTO,30,1836,2408
HUBBARD,MIXTO,31,1933,2572
HUBBARD,MIXTO,32,2031,2742
HUBBARD,MIXTO,33,2130,2916
HUBBARD,MIXTO,34,2229,3095
HUBBARD,MIXTO,35,2330,3278
HUBBARD,MIXTO,36,2430,3465
HUBBARD,MIXTO,37,2529,3657
HUBBARD,MIXTO,38,2631,3852
HUBBARD,MIXTO,39,2730,4051
HUBBARD,MIXTO,40,2830,4252
HUBBARD,MIXTO,41,2929,4458
HUBBARD,MIXTO,42,3028,4666
HUBBARD,MIXTO,43,3126,4878
HUBBARD,MIXTO,44,3225,5092
HUBBARD,MIXTO,45,3323,5307
HUBBARD,MIXTO,46,3419,5526
HUBBARD,MIXTO,47,3515,5747
HUBBARD,MIXTO,48,3609,5969
HUBBARD,MIXTO,49,3704,6194
HUBBARD,MIXTO,50,3797,6419
HUBBARD,MIXTO,51,3888,6646
HUBBARD,MIXTO,52,3977,6874
HUBBARD,MIXTO,53,4067,7102
HUBBARD,MIXTO,54,4153,7332
HUBBARD,MIXTO,55,4239,7561
HUBBARD,MIXTO,56,4324,7791
ROSS,HEMBRA,1,57,14
ROSS,HEMBRA,2,73,32
ROSS,HEMBRA,3,91,53
ROSS,HEMBRA,4,111,77
ROSS,HEMBRA,5,134,104
ROSS,HEMBRA,6,160,135
ROSS,HEMBRA,7,188,169
ROSS,HEMBRA,8,220,207
ROSS,HEMBRA,9,254,249
ROSS,HEMBRA,10,292,296
ROSS,HEMBRA,11,333,347
ROSS,HEMBRA,12,376,403
ROSS,HEMBRA,13,423,464
ROSS,HEMBRA,14,473,530
ROSS,HEMBRA,15,526,601
ROSS,HEMBRA,16,582,677
ROSS,HEMBRA,17,640,759
ROSS,HEMBRA,18,701,846
ROSS,HEMBRA,19,765,939
ROSS,HEMBRA,20,831,1037
ROSS,HEMBRA,21,899,1141
ROSS,HEMBRA,22,969,1250
ROSS,HEMBRA,23,1042,1365
ROSS,HEMBRA,24,1116,1485
ROSS,HEMBRA,25,1191,1610
ROSS,HEMBRA,26,1268,1740
ROSS,HEMBRA,27,1347,1875
ROSS,HEMBRA,28,1427,2015
ROSS,HEMBRA,29,1507,2160
ROSS,HEMBRA,30,1589,2310
ROSS,HEMBRA,31,1671,2464
ROSS,HEMBRA,32,1754,2623
ROSS,HEMBRA,33,1838,2786
ROSS,HEMBRA,34,1922,2953
ROSS,HEMBRA,35,2006,3124
ROSS,HEMBRA,36,2090,3299
ROSS,HEMBRA,37,2175,3477
ROSS,HEMBRA,38,2259,3659
ROSS,HEMBRA,39,2344,3844
ROSS,HEMBRA,40,2428,4032
ROSS,HEMBRA,41,2512,4224
ROSS,HEMBRA,42,2595,4418
ROSS,HEMBRA,43,2678,4615
ROSS,HEMBRA,44,2761,4815
ROSS,HEMBRA,45,2843,5017
ROSS,HEMBRA,46,2924,5222
ROSS,HEMBRA,47,3005,5429
ROSS,HEMBRA,48,3085,5638
ROSS,HEMBRA,49,3165,5849
ROSS,HEMBRA,50,3243,6062
ROSS,HEMBRA,51,3320,6276
ROSS,HEMBRA,52,3397,6492
ROSS,HEMBRA,53,3472,6709
ROSS,HEMBRA,54,3546,6927
ROSS,HEMBRA,55,3619,7145
ROSS,HEMBRA,56,3691,7364
ROSS,HEMBRA,57,3761,7583
ROSS,HEMBRA,58,3830,7802
ROSS,HEMBRA,59,3898,8021
ROSS,HEMBRA,60,3964,8240
ROSS,HEMBRA,61,4028,8458
ROSS,HEMBRA,62,4091,8676
ROSS,HEMBRA,63,4152,8892
ROSS,HEMBRA,64,4211,9107
ROSS,HEMBRA,65,4268,9320
ROSS,HEMBRA,66,4323,9532
ROSS,HEMBRA,67,4376,9741
ROSS,HEMBRA,68,4427,9948
ROSS,HEMBRA,69,4476,10153
ROSS,HEMBRA,70,4523,10355
ROSS,MACHO,1,57,12
ROSS,MACHO,2,73,28
ROSS,MACHO,3,91,47
ROSS,MACHO,4,111,70
ROSS,MACHO,5,134,97
ROSS,MACHO,6,160,128
ROSS,MACHO,7,189,163
ROSS,MACHO,8,221,202
ROSS,MACHO,9,257,246
ROSS,MACHO,10,296,295
ROSS,MACHO,11,339,349
ROSS,MACHO,12,385,409
ROSS,MACHO,13,434,474
ROSS,MACHO,14,488,545
ROSS,MACHO,15,545,622
ROSS,MACHO,16,605,705
ROSS,MACHO,17,669,795
ROSS,MACHO,18,737,891
ROSS,MACHO,19,808,994
ROSS,MACHO,20,882,1103
ROSS,MACHO,21,959,1219
ROSS,MACHO,22,1040,1341
ROSS,MACHO,23,1123,1470
ROSS,MACHO,24,1209,1606
ROSS,MACHO,25,1297,1748
ROSS,MACHO,26,1388,1897
ROSS,MACHO,27,1481,2052
ROSS,MACHO,28,1576,2214
ROSS,MACHO,29,1673,2382
ROSS,MACHO,30,1771,2556
ROSS,MACHO,31,1871,2736
ROSS,MACHO,32,1973,2921
ROSS,MACHO,33,2075,3112
ROSS,MACHO,34,2179,3308
ROSS,MACHO,35,2283,3510
ROSS,MACHO,36,2388,3717
ROSS,MACHO,37,2493,3928
ROSS,MACHO,38,2599,4144
ROSS,MACHO,39,2705,4365
ROSS,MACHO,40,2811,4590
ROSS,MACHO,41,2917,4819
ROSS,MACHO,42,3023,5051
ROSS,MACHO,43,3129,5287
ROSS,MACHO,44,3234,5526
ROSS,MACHO,45,3339,5769
ROSS,MACHO,46,3443,6015
ROSS,MACHO,47,3546,6263
ROSS,MACHO,48,3648,6514
ROSS,MACHO,49,3750,6767
ROSS,MACHO,50,3851,7023
ROSS,MACHO,51,3950,7281
ROSS,MACHO,52,4049,7541
ROSS,MACHO,53,4146,7802
ROSS,MACHO,54,4242,8065
ROSS,MACHO,55,4337,8329
ROSS,MACHO,56,4431,8594
ROSS,MACHO,57,4523,8860
ROSS,MACHO,58,4613,9127
ROSS,MACHO,59,4703,9395
ROSS,MACHO,60,4791,9663
ROSS,MACHO,61,4877,9932
ROSS,MACHO,62,4961,10201
ROSS,MACHO,63,5045,10470
ROSS,MACHO,64,5126,10739
ROSS,MACHO,65,5206,11008
ROSS,MACHO,66,5284,11276
ROSS,MACHO,67,5360,11544
ROSS,MACHO,68,5435,11811
ROSS,MACHO,69,5508,12077
ROSS,MACHO,70,5580,12342
ROSS,MIXTO,1,57,13
ROSS,MIXTO,2,73,30
ROSS,MIXTO,3,91,50
ROSS,MIXTO,4,111,73
ROSS,MIXTO,5,134,100
ROSS,MIXTO,6,160,131
ROSS,MIXTO,7,189,166
ROSS,MIXTO,8,220,205
ROSS,MIXTO,9,256,248
ROSS,MIXTO,10,294,296
ROSS,MIXTO,11,336,349
ROSS,MIXTO,12,381,407
ROSS,MIXTO,13,429,470
ROSS,MIXTO,14,480,539
ROSS,MIXTO,15,535,613
ROSS,MIXTO,16,593,693
ROSS,MIXTO,17,655,779
ROSS,MIXTO,18,719,871
ROSS,MIXTO,19,786,969
ROSS,MIXTO,20,856,1073
ROSS,MIXTO,21,929,1183
ROSS,MIXTO,22,1004,1299
ROSS,MIXTO,23,1082,1421
ROSS,MIXTO,24,1162,1549
ROSS,MIXTO,25,1244,1683
ROSS,MIXTO,26,1328,1823
ROSS,MIXTO,27,1414,1968
ROSS,MIXTO,28,1501,2119
ROSS,MIXTO,29,1590,2276
ROSS,MIXTO,30,1680,2438
ROSS,MIXTO,31,1771,2605
ROSS,MIXTO,32,1863,2777
ROSS,MIXTO,33,1956,2954
ROSS,MIXTO,34,2050,3136
ROSS,MIXTO,35,2144,3322
ROSS,MIXTO,36,2239,3513
ROSS,MIXTO,37,2334,3708
ROSS,MIXTO,38,2429,3907
ROSS,MIXTO,39,2524,4110
ROSS,MIXTO,40,2620,4317
ROSS,MIXTO,41,2715,4527
ROSS,MIXTO,42,2809,4741
ROSS,MIXTO,43,2904,4958
ROSS,MIXTO,44,2997,5178
ROSS,MIXTO,45,3091,5401
ROSS,MIXTO,46,3184,5627
ROSS,MIXTO,47,3276,5855
ROSS,MIXTO,48,3367,6085
ROSS,MIXTO,49,3457,6318
ROSS,MIXTO,50,3547,6553
ROSS,MIXTO,51,3635,6789
ROSS,MIXTO,52,3723,7027
ROSS,MIXTO,53,3809,7266
ROSS,MIXTO,54,3894,7507
ROSS,MIXTO,55,3978,7749
ROSS,MIXTO,56,4061,7992
ROSS,MIXTO,57,4142,8235
ROSS,MIXTO,58,4222,8479
ROSS,MIXTO,59,4300,8723
ROSS,MIXTO,60,4377,8967
ROSS,MIXTO,61,4452,9211
ROSS,MIXTO,62,4526,9455
ROSS,MIXTO,63,4598,9698
ROSS,MIXTO,64,4668,9941
ROSS,MIXTO,65,4737,10183
ROSS,MIXTO,66,4803,10424
ROSS,MIXTO,67,4868,10663
ROSS,MIXTO,68,4931,10901
ROSS,MIXTO,69,4992,11137
ROSS,MIXTO,70,5051,11371
ROSS 308 AP,HEMBRA,1,62,13
ROSS 308 AP,HEMBRA,2,81,30
ROSS 308 AP,HEMBRA,3,102,51
ROSS 308 AP,HEMBRA,4,126,75
ROSS 308 AP,HEMBRA,5,152,103
ROSS 308 AP,HEMBRA,6,181,134
ROSS 308 AP,HEMBRA,7,214,170
ROSS 308 AP,HEMBRA,8,250,209
ROSS 308 AP,HEMBRA,9,289,251
ROSS 308 AP,HEMBRA,10,331,299
ROSS 308 AP,HEMBRA,11,376,350
ROSS 308 AP,HEMBRA,12,425,406
ROSS 308 AP,HEMBRA,13,477,466
ROSS 308 AP,HEMBRA,14,532,531
ROSS 308 AP,HEMBRA,15,590,601
ROSS 308 AP,HEMBRA,16,651,676
ROSS 308 AP,HEMBRA,17,715,756
ROSS 308 AP,HEMBRA,18,782,841
ROSS 308 AP,HEMBRA,19,851,932
ROSS 308 AP,HEMBRA,20,924,1028
ROSS 308 AP,HEMBRA,21,998,1129
ROSS 308 AP,HEMBRA,22,1075,1236
ROSS 308 AP,HEMBRA,23,1154,1348
ROSS 308 AP,HEMBRA,24,1235,1465
ROSS 308 AP,HEMBRA,25,1318,1587
ROSS 308 AP,HEMBRA,26,1402,1715
ROSS 308 AP,HEMBRA,27,1488,1848
ROSS 308 AP,HEMBRA,28,1575,1986
ROSS 308 AP,HEMBRA,29,1664,2129
ROSS 308 AP,HEMBRA,30,1753,2276
ROSS 308 AP,HEMBRA,31,1844,2429
ROSS 308 AP,HEMBRA,32,1935,2586
ROSS 308 AP,HEMBRA,33,2026,2747
ROSS 308 AP,HEMBRA,34,2118,2913
ROSS 308 AP,HEMBRA,35,2211,3082
