RAZA,SEXO,Intercept,Coef_1,Coef_2,Coef_3,Coef_4
COBB,HEMBRA,50.6193728497567,0.895858221399592,-9.889163016889761e-05,1.1561078736443576e-08,-6.203908191726271e-13
COBB,MACHO,47.910085735544726,0.9319339823100585,-9.389015445140589e-05,1.0137387614699732e-08,-4.972148348778249e-13
COBB,MIXTO,49.463294166092055,0.9139514470425244,-9.597350446519894e-05,1.0735872822807883e-08,-5.490861915433114e-13
HUBBARD,HEMBRA,67.48678022589479,0.9181612520199318,-0.00012417288677740704,1.4366787573410814e-08,-6.944837450291935e-13
HUBBARD,MACHO,59.02627563596775,0.9561758304846255,-9.074576814071254e-05,9.192954976060464e-09,-4.439609458551506e-13
HUBBARD,MIXTO,63.195847243171556,0.9364811861279281,-0.0001069564970952248,1.1675195355618451e-08,-5.626071919853045e-13
ROSS,HEMBRA,55.867356857135746,0.8145854353046141,-7.810322534953319e-05,6.462946474926736e-09,-2.416012658556955e-13
ROSS,MACHO,64.72671189061111,0.7922635759377538,-5.6737156423188356e-05,3.723817901593524e-09,-1.1351072778610237e-13
ROSS,MIXTO,60.448791088010694,0.7989397473237695,-6.501461792738087e-05,4.7202611610336356e-09,-1.5774971414331505e-13
ROSS 308 AP,HEMBRA,57.327346315413934,0.9420567271001238,-0.00010986695696918603,1.1839168314236867e-08,-5.78829022769202e-13
ROSS 308 AP,MACHO,65.69706081768823,0.9230406315186683,-8.629460037368285e-05,8.127620048877925e-09,-3.487742544805532e-13
ROSS 308 AP,MIXTO,61.7430923563345,0.9314759339111336,-9.688672044014487e-05,9.7536300564615e-09,-4.461501215994927e-13
